PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Hidalgo, CA				Hidalgo, Cesar A.			The policy implications of economic complexity	RESEARCH POLICY												In recent years economic complexity has grown into an active field of fundamental and applied research. Yet, despite important advances, the policy implications of economic complexity can remain unclear or misunderstood. Here I organize the policy implications of economic complexity in a framework grounded on 4 Ws: what approaches, focused on identifying target activities and/or locations; when approaches, focused on the timing of related and unrelated diversification; where approaches, focused on the geographic diffusion of knowledge; and who approaches, focused on the role played by agents of structural change. The goal of this paper is to provide a framework that groups, organizes, and clarifies the policy implications of economic complexity and facilitates its continued use in regional and international development.					Hidalgo, Cesar A./B-5155-2009	Hidalgo, Cesar A./0000-0002-6977-9492													0048-7333	1873-7625				NOV	2023	52	9							104863	10.1016/j.respol.2023.104863	http://dx.doi.org/10.1016/j.respol.2023.104863		JUL 2023											WOS:001051951800001
J	Zhang, W; He, CF				Zhang, Wei; He, Canfei			Perilous Evolutionary Paths of Industrial Policy in a Developmental Context: Evidence from the Chinese Medical Industry	TIJDSCHRIFT VOOR ECONOMISCHE EN SOCIALE GEOGRAFIE												Industrial policy, as one of the most potent weapons employed by governments, is recommended to adhere to the principles of high relatedness and high economic complexity, which can minimize risks and maximize returns. However, this approach may not be optimal in developing countries with poor industrial bases, limited innovative capabilities and weak institutional frameworks. Based on relatedness and economic complexity, this study illustrates the evolution paths of industrial policy in China and identifies underlying influencing factors deciding the patterns of policymaking. Different from developed countries, it takes several steps for developing countries to reach the final target, the smart specialization approach, instead of one-step jumping. Moreover, industrial policy is not always the panacea, and the effects of industrial policy vary depending on local contexts. In sum, this study extends research towards the complex co-evolution process of policy and industries in developing countries and provides more insights for policymaking.						He, Canfei/0000-0001-5170-3599													0040-747X	1467-9663				2024 MAR 15	2024										10.1111/tesg.12621	http://dx.doi.org/10.1111/tesg.12621		MAR 2024											WOS:001184262500001
J	Pinheiro, FL; Hartmann, D; Boschma, R; Hidalgo, CA				Pinheiro, Flavio L.; Hartmann, Dominik; Boschma, Ron; Hidalgo, Cesar A.			The time and frequency of unrelated diversification	RESEARCH POLICY												Economic diversification-the process by which locations enter new economic activities-is known to be a combination of related and unrelated diversification. Related diversification is-on average-more frequent, but unrelated diversification is nevertheless considered important to avoid economic lock-in. Here, we study the frequency and timing of unrelated diversification using two international trade datasets at the country level. We find that related diversification is more frequent for countries at low levels of development but becomes less frequent as countries climb the complexity ladder. These findings contribute to our understanding of the role of relatedness in the diversification of economies at different levels of complexity.					Hidalgo, Cesar A./B-5155-2009; Pinheiro, Flavio/F-9214-2011	Hidalgo, Cesar A./0000-0002-6977-9492; Pinheiro, Flavio/0000-0002-0561-9641													0048-7333	1873-7625				OCT	2022	51	8							104323	10.1016/j.respol.2021.104323	http://dx.doi.org/10.1016/j.respol.2021.104323		SEP 2022											WOS:000907815300009
J	Tacchella, A; Zaccaria, A; Miccheli, M; Pietronero, L				Tacchella, Andrea; Zaccaria, Andrea; Miccheli, Marco; Pietronero, Luciano			Relatedness in the era of machine learning	CHAOS SOLITONS & FRACTALS												Relatedness is a quantification of how much two human activities are similar in terms of the inputs and contexts needed for their development. Under the idea that it is easier to move between related activities than towards unrelated ones, empirical approaches to quantify relatedness are currently used as predictive tools to inform policies and development strategies in governments, international organizations, and firms. Here we show that the standard, widespread approach of estimating Relatedness through the co-location of activities (e.g. Product Space) generates a measure of relatedness that performs worse than trivial auto -correlation prediction strategies. In this paper, working on data about countries' trade, technologies, and scientific production, we show two main findings. First, we find that a shift from two-product correlations (network-density based) to many-product correlations (decision trees) can dramatically improve the quality of forecasts, allowing the possibility to assist policymakers in optimizing decisions to promote growth. Then, we propose a new methodology to empirically estimate Relatedness that we call Continuous Projection Space (CPS). CPS, which represents a general network embedding technique, vastly outperforms all the co-location, network-based approaches, while retaining similar interpretability in terms of pairwise distances. Depending on the dataset the best approach is always either CPS or machine learning algorithms based on decision trees.					zaccaria, andrea/F-8476-2018														0960-0779	1873-2887				NOV	2023	176								114071	10.1016/j.chaos.2023.114071	http://dx.doi.org/10.1016/j.chaos.2023.114071		OCT 2023											WOS:001097549200001
J	Jun, BG; Alshamsi, A; Gao, J; Hidalgo, CA				Jun, Bogang; Alshamsi, Aamena; Gao, Jian; Hidalgo, Cesar A.			Bilateral relatedness: knowledge diffusion and the evolution of bilateral trade	JOURNAL OF EVOLUTIONARY ECONOMICS												During the last two decades, two important contributions have reshaped our understanding of international trade. First, countries trade more with those with whom they share history, language, and culture, suggesting that trade is limited by information frictions. Second, countries are more likely to start exporting products that are related to their current exports, suggesting that shared capabilities and knowledge diffusion constrain export diversification. Here, we join both of these streams of literature by developing three measures of bilateral relatedness and using them to ask whether the destinations to which a country will increase its exports of a product are predicted by these forms of relatedness. The first form is product relatedness, and asks whether a country already exports many similar products to a destination. The second is importer relatedness, and asks whether the country exports the same product to the neighbors of the target destination. The third is exporter relatedness, and asks whether a country's neighbors are already exporting the same product to the destination. We use bilateral trade data from 2000 to 2015, and a variety of controls in multiple gravity specifications, to show that countries are more likely to increase their exports of a product to a destination when they have more product relatedness, importer relatedness, and exporter relatedness. Then, we use several sample splits to explore whether the effects of these forms of relatedness are stronger for products of higher complexity, technological sophistication, and differentiation. We find that, in the case of product relatedness, the effects are stronger for differentiated, complex, and technologically sophisticated products. Also, we find the effects of common language and shared colonial past to increase with differentiation, complexity, and technological sophistication, while the effects of shared borders decrease with these three variables. These results suggest that product relatedness and common language capture dimensions of knowledge relatedness that are more important for the exchange of more sophisticated and differentiated products. These findings extend the ideas of relatedness to bilateral trade and show that the evolution of bilateral trade networks are shaped by relatedness among products, exporters, and importers.					Gao, Jian/D-1067-2013; Jun, Bogang/AAW-6029-2020; Hidalgo, Cesar A./B-5155-2009	Gao, Jian/0000-0001-6659-5770; Jun, Bogang/0000-0003-4994-702X; Hidalgo, Cesar A./0000-0002-6977-9492													0936-9937	1432-1386				APR	2020	30	2					247	277		10.1007/s00191-019-00638-7	http://dx.doi.org/10.1007/s00191-019-00638-7													WOS:000535882700002
J	Boschma, R				Boschma, Ron			An evolutionary approach to regional studies on global value chains	REGIONAL STUDIES												There is an ongoing dialogue that explores how the global production network and evolutionary economic geography (EEG) literatures can make promising crossovers. This paper aims to contribute to this debate by outlining a theoretical-analytical approach to regional studies on global value chains (GVCs). Building on the EEG literature on relatedness, economic complexity and regional diversification, this approach aims to develop a better understanding of the ability of regions to develop new and upgrade existing GVCs, and why regions may experience the loss or downgrading of existing GVCs. We present the features of this relatedness/complexity approach to GVCs and discuss potential fields of applications.																			0034-3404	1360-0591				2024 APR 4	2024										10.1080/00343404.2024.2323035	http://dx.doi.org/10.1080/00343404.2024.2323035		APR 2024											WOS:001195568900001
J	Mealy, P; Coyle, D				Mealy, Penny; Coyle, Diane			To them that hath: economic complexity and local industrial strategy in the UK	INTERNATIONAL TAX AND PUBLIC FINANCE												Divergent economic performance in many countries has led to renewed interest in place-based policies, such as the UK's local industrial strategies at the level of Combined Authorities or Local Economic Partnerships. However, an analysis of employment data using methods from the economic complexity literature demonstrates great heterogeneity in industrial strengths and future growth opportunities within those jurisdictions, raising challenges in designing common policies suited to all sub-geographies. Moreover, the 'related' industries into which low-complexity, low-wage local authorities could potentially diversify are also low-wage. Incremental policies building on existing local capacities are therefore likely to amplify divergence between prospering and left-behind areas.						Mealy, Penny/0000-0003-2729-3037; Coyle, Diane/0000-0001-7243-1641													0927-5940	1573-6970				APR	2022	29	2					358	377		10.1007/s10797-021-09667-0	http://dx.doi.org/10.1007/s10797-021-09667-0		APR 2021											WOS:000637652200001
J	Buyukyazici, D; Mazzoni, L; Riccaboni, M; Serti, F				Buyukyazici, Duygu; Mazzoni, Leonardo; Riccaboni, Massimo; Serti, Francesco			Workplace skills as regional capabilities: relatedness, complexity and industrial diversification of regions	REGIONAL STUDIES												The literature unanimously agrees that industrial diversification is path dependent: new industries build on the pre-existing capabilities of regions that are partly embodied and reflected in the skills of the region's workforce. This paper explicitly accounts for regional capabilities as workforce skills to build skill relatedness and skill complexity measures, that is, the skill-spaces, for 107 Italian regions for the period 2013-19. The data-driven techniques we use reveal that skill-spaces form two highly polarised clusters into social-cognitive and technical-physical skills. We find evidence that social-cognitive skills yield the highest probabilities of regional competitive advantage. A comparison with co-location-based measures shows that our measures are able to capture a substantial part of regional capabilities that cannot be measured with previous measures.					Buyukyazici, Duygu/JAN-5095-2023; Mazzoni, Leonardo/JFK-6220-2023; Serti, Francesco/K-8261-2014	Buyukyazici, Duygu/0000-0002-2435-2962; Mazzoni, Leonardo/0000-0002-0231-9248; Serti, Francesco/0000-0002-8057-5298													0034-3404	1360-0591				MAR 3	2024	58	3					469	489		10.1080/00343404.2023.2206868	http://dx.doi.org/10.1080/00343404.2023.2206868		JUN 2023											WOS:001003538500001
J	Mazzoni, L; Innocenti, N				Mazzoni, Leonardo; Innocenti, Niccolo			What conditions favor high-potential entrepreneurship? Unpacking the nexus between the industrial structure and startup typologies	SMALL BUSINESS ECONOMICS												Plain English SummaryIn this paper, we question the implicit assumption that more entrepreneurship drives more innovation and growth, arguing that only specific typologies of entrepreneurship are responsible for these phenomena. In recent years, researchers have highlighted the importance of the factors external to the startups to explain the entrepreneurial dynamics. In particular, specialized and sophisticated economic systems have often been associated with a high level of entrepreneurship. Accordingly, we investigated the differentiated effects that industrial systems have on the high-potential typology of startups, namely, innovative startups, high-growth startups, and pioneers. Upon analyzing the case of Italy across a 5-year period (2015-2019), we found that certain compositions of industrial structure may either favor or hinder the typologies of the aforementioned startups. These results inform potential entrepreneurs of the importance to analyze how external conditions can distinctively affect the process of opportunity identification among different forms of high-potential startups. In this paper, we question the implicit assumption that more entrepreneurship drives more innovation and growth, asserting that specific typologies of entrepreneurship are responsible for these phenomena. A growing number of studies has analyzed this relationship while focusing on the overall level of entrepreneurship. This paper exploits recent advancements in measuring the sophistication and connectedness of economic systems, brought by the notions of economic complexity and relatedness, to study the nexus of industrial structure and high-potential forms of entrepreneurship. The present study uses a panel dataset for Italy for the period 2015-2019. The results show a differentiated pattern among the high-potential startups considered, with relatedness and complexity having a positive effect for innovative startups, a negative one for high-growth startups, and no effect for pioneers. These results inform potential entrepreneurs of the importance of analyzing how external conditions can have distinctive effects on the process of opportunity identification among different typologies of high-potential startups.					Mazzoni, Leonardo/JFK-6220-2023	Mazzoni, Leonardo/0000-0002-0231-9248; Innocenti, Niccolo/0000-0001-8421-5479													0921-898X	1573-0913				MAR	2024	62	3					1201	1222		10.1007/s11187-023-00801-2	http://dx.doi.org/10.1007/s11187-023-00801-2		JUL 2023											WOS:001027409100001
J	Herrera, WDM; Strauch, JCM; Bruno, MAP				Herrera, William D. M.; Strauch, Julia C. M.; Bruno, Miguel A. P.			ECONOMIC COMPLEXITY OF BRAZILIAN STATES IN THE PERIOD 1997-2017	AREA DEVELOPMENT AND POLICY												Economic complexity (EC) is a proxy for the productive structure of a given geographical space, reflecting the synergy between local productive systems and institutions. This paper examines the evolution of the EC of Brazilian states from 1997 to 2017. The results show that the states with the highest EC are in the Southeast and South regions, and that in some states EC declined or stagnated. These trends are indicative of processes of deindustrialization and financialization and point to the need for a new development path.						Moran Herrera, William David/0000-0001-5953-5104													2379-2949	2379-2957				JAN 2	2021	6	1					63	81		10.1080/23792949.2020.1761846	http://dx.doi.org/10.1080/23792949.2020.1761846		JUN 2020											WOS:000547390100001
J	van Dam, A; Frenken, K				van Dam, Alje; Frenken, Koen			Variety, complexity and economic development	RESEARCH POLICY												We propose a combinatorial model of economic development. An economy develops by acquiring new capabilities allowing for the production of an ever greater variety of products with an increasing complexity. Taking into account that economies abandon the least complex products as they develop over time, we show that variety first increases and then decreases in the course of economic development. This is consistent with the empirical pattern known as 'the hump'. Our results question the common association of variety with complexity. We further discuss the implications of our model for future research.					Frenken, Koen/C-4486-2017														0048-7333	1873-7625				OCT	2022	51	8							103949	10.1016/j.respol.2020.103949	http://dx.doi.org/10.1016/j.respol.2020.103949		SEP 2022											WOS:000907813200002
J	Castañeda, G; Peñarrieta, LC; Guerrero, OA; Chávez-Juárez, F				Castaneda, Gonzalo; Penarrieta, Luis Castro; Guerrero, Omar A.; Chavez-Juarez, Florian			How do social capabilities shape a country's comparative advantages? Unpacking industries' relatedness	REVIEW OF WORLD ECONOMICS												This study elaborates on a methodology that combines industry-level data (exports, HS 4-digits) with country-level indicators to determine which social capabilities are important when explaining patterns of comparative advantage (or structural transformation). The indicators used to characterize these capabilities are associated with different dimensions: economic, institutional, and cultural. Through the product space, we estimate a density measure identifying the proximity between non-competitive products and a country's current export profile, and then unpack the contribution of different relatedness channels to changes in comparative advantage by redefining densities in terms of social affinities between industries. We find that (i) countries can be competitive in certain industries, even if some of these capabilities are not high; (ii) all dimensions, but not all their components, matter in predicting changes in countries' comparative advantages; (iii) structural transformations take some time to materialize; and (iv) the inclusion of social affinities diminishes the influence of a density variable measuring overall relatedness to predict product takeoff.						Guerrero, Omar A./0000-0003-4039-1811													1610-2878	1610-2886				2024 MAR 15	2024										10.1007/s10290-024-00524-w	http://dx.doi.org/10.1007/s10290-024-00524-w		MAR 2024											WOS:001184213500001
J	Koch, P; Stojkoski, V; Hidalgo, CA				Koch, Philipp; Stojkoski, Viktor; Hidalgo, Cesar A.			The role of immigrants, emigrants and locals in the historical formation of European knowledge agglomerations	REGIONAL STUDIES												Did migrants make Paris a mecca for the arts and Vienna a beacon of classical music? Or was their rise a pure consequence of local actors? We use data on more than 22,000 historical individuals born between the years 1000 and 2000 to estimate the contribution of famous immigrants, emigrants and locals to the knowledge specialisations of European regions. We find that the probability that a region develops or keeps specialisation in an activity (based on the birth of famous physicists, painters, etc.) grows with both the presence of immigrants with knowledge about that activity and immigrants with knowledge in related activities. In contrast, we do not find robust evidence that the presence of locals with related knowledge explains entries and/or exits. We address some endogeneity concerns using fixed-effects models considering any location-period-activity-specific factors (e.g., the presence of a new university attracting scientists).						Hidalgo, Cesar/0000-0002-6977-9492; Koch, Philipp/0000-0002-3248-9686													0034-3404	1360-0591				2023 NOV 29	2023										10.1080/00343404.2023.2275571	http://dx.doi.org/10.1080/00343404.2023.2275571		NOV 2023											WOS:001113825600001
J	Dong, ZYZ; Li, YC; Balland, PA; Zheng, SQ				Dong, Zhaoyingzi; Li, Yingcheng; Balland, Pierre-Alexandre; Zheng, Siqi			Industrial land policy and economic complexity of Chinese Cities	INDUSTRY AND INNOVATION												Economies producing more complex products tend to be wealthier and grow more quickly. Therefore, a key issue for cities around the world is to develop new specialisations into more complex industries. In China, local governments tend to use urban land allocation as a tool to attract new firms from specific industries and promote industrial growth. However, relatively little is known about how this policy tool is related to the economic complexity of Chinese cities. Drawing upon the recent literature on the principle of relatedness and economic complexity, this paper investigates the relationship between industrial land policy (ILP) and the diversification of Chinese cities into more complex industries. The empirical results support our hypothesis that cities providing higher intensity of land subsidy are more likely to enter new industries and the more complex ones in particular.					li, yingcheng/ADI-7189-2022	li, yingcheng/0000-0002-0894-6461; Balland, Pierre-Alexandre/0000-0003-2787-4376													1366-2716	1469-8390				MAR 16	2022	29	3					367	395		10.1080/13662716.2021.1990022	http://dx.doi.org/10.1080/13662716.2021.1990022		OCT 2021											WOS:000711317700001
J	Capasso, M; Mark, MS				Capasso, Marco; Mark, Michael Spjelkavik			The Evolving Economic Employment of ICT Education: The Case of Norway	SUSTAINABILITY												Digitisation breaks down traditional industry and sector boundaries and fuels new work structures and networks. By using linked employer-employee data for Norway (years 2013-2017), we address two research questions: whether some parts of the economy increasingly need people who are "specialised" in ICT, in the sense that the main focus of their formal education is ICT, and whether the ongoing digitisation processes in the Norwegian economy have altered the complementarities between ICT education and other types of formal education. By means of a shift-share analysis, we disentangle the contributions to employment deriving from variation in the education mix within the sectors. We also observe the recent labour flows of ICT-educated workers across sectors of the Norwegian economy. Then, an establishment-level analysis sheds light on possible evolutions of the complementarity of ICT education with other types of education. Public administration and health are revealed to be increasingly important attractors for ICT-educated people. Nonetheless, the ICT industries still employ many ICT-educated individuals and they are becoming more specialised, possibly as outsourcees of services to other industries. Finally, flows of ICT-educated employees from and to the sales sector and the publishing and audiovisual industries suggest an evolving knowledge content in these areas of the economy.						Capasso, Marco/0000-0003-2057-299X; Mark, Michael Spjelkavik/0000-0001-7039-1973														2071-1050				AUG	2021	13	15							8476	10.3390/su13158476	http://dx.doi.org/10.3390/su13158476													WOS:000682269100001
J	Balland, PA; Broekel, T; Diodato, D; Giuliani, E; Hausmann, R; O'Clery, N; Rigby, D				Balland, Pierre-Alexandre; Broekel, Tom; Diodato, Dario; Giuliani, Elisa; Hausmann, Ricardo; O'Clery, Neave; Rigby, David			Reprint of The new paradigm of economic complexity	RESEARCH POLICY												Economic complexity offers a potentially powerful paradigm to understand key societal issues and challenges of our time. The underlying idea is that growth, development, technological change, income inequality, spatial disparities, and resilience are the visible outcomes of hidden systemic interactions. The study of economic complexity seeks to understand the structure of these interactions and how they shape various socioeconomic processes. This emerging field relies heavily on big data and machine learning techniques. This brief introduction to economic complexity has three aims. The first is to summarize key theoretical foundations and principles of economic complexity. The second is to briefly review the tools and metrics developed in the economic complexity literature that exploit information encoded in the structure of the economy to find new empirical patterns. The final aim is to highlight the insights from economic complexity to improve prediction and political decision-making. Institutions including the World Bank, the European Commission, the World Economic Forum, the OECD, and a range of national and regional organizations have begun to embrace the principles of economic complexity and its analytical framework. We discuss policy implications of this field, in particular the usefulness of building recommendation systems for major public investment decisions in a complex world.					Broekel, Tom/K-7048-2014; Diodato, Dario/JXY-1149-2024	Broekel, Tom/0000-0003-4516-4626; Diodato, Dario/0000-0001-6902-2468													0048-7333	1873-7625				OCT	2022	51	8							104568	10.1016/j.respol.2022.104568	http://dx.doi.org/10.1016/j.respol.2022.104568		SEP 2022											WOS:000907815300010
J	Balland, PA; Broekel, T; Diodato, D; Giuliani, E; Hausmann, R; O'Clery, N; Rigby, D				Balland, Pierre-Alexandre; Broekel, Tom; Diodato, Dario; Giuliani, Elisa; Hausmann, Ricardo; O'Clery, Neave; Rigby, David			The new paradigm of economic complexity	RESEARCH POLICY												Economic complexity offers a potentially powerful paradigm to understand key societal issues and challenges of our time. The underlying idea is that growth, development, technological change, income inequality, spatial disparities, and resilience are the visible outcomes of hidden systemic interactions. The study of economic complexity seeks to understand the structure of these interactions and how they shape various socioeconomic processes. This emerging field relies heavily on big data and machine learning techniques. This brief introduction to economic complexity has three aims. The first is to summarize key theoretical foundations and principles of economic complexity. The second is to briefly review the tools and metrics developed in the economic complexity literature that exploit information encoded in the structure of the economy to find new empirical patterns. The final aim is to highlight the insights from economic complexity to improve prediction and political decision-making. Institutions including the World Bank, the European Commission, the World Economic Forum, the OECD, and a range of national and regional organizations have begun to embrace the principles of economic complexity and its analytical framework. We discuss policy implications of this field, in particular the usefulness of building recommendation systems for major public investment decisions in a complex world.					Diodato, Dario/JXY-1149-2024; Broekel, Tom/K-7048-2014	Diodato, Dario/0000-0001-6902-2468; Broekel, Tom/0000-0003-4516-4626													0048-7333	1873-7625				APR	2022	51	3							104450	10.1016/j.respol.2021.104450	http://dx.doi.org/10.1016/j.respol.2021.104450								35370320					WOS:000812806500005
J	Fessina, M; Albora, G; Tacchella, A; Zaccaria, A				Fessina, Massimiliano; Albora, Giambattista; Tacchella, Andrea; Zaccaria, Andrea			Identifying key products to trigger new exports: an explainable machine learning approach	JOURNAL OF PHYSICS-COMPLEXITY												Tree-based machine learning algorithms provide the most precise assessment of the feasibility for a country to export a target product given its export basket. However, the high number of parameters involved prevents a straightforward interpretation of the results and, in turn, the explainability of policy indications. In this paper, we propose a procedure to statistically validate the importance of the products used in the feasibility assessment. In this way, we are able to identify which products, called explainers, significantly increase the probability to export a target product in the near future. The explainers naturally identify a low dimensional representation, the Feature Importance Product Space, that enhances the interpretability of the recommendations and provides out-of-sample forecasts of the export baskets of countries. Interestingly, we detect a positive correlation between the complexity of a product and the complexity of its explainers.																				2632-072X				JUN 1	2024	5	2							025003	10.1088/2632-072X/ad3604	http://dx.doi.org/10.1088/2632-072X/ad3604													WOS:001204911500001
J	Gómez-Zaldívar, F; Molina-Perez, E				Gomez-Zaldivar, Fernando; Molina-Perez, Edmundo			Evolution of the Productive Capabilities of Mexico: Economic Complexity Analysis for the Development of Special Economic Zones (SEZ)	INTERNATIONAL TRADE JOURNAL												This article aims to identify the capabilities that can enhance structural change at the state level in Mexico. Specifically, we analyze the evolution of the productive capabilities from 1999 to 2014 in the five less developed southern states where the federal government wants to generate development poles. Using the economic complexity methodology and estimating the network of relatedness, our findings indicate that these states have been specialized in non-complex capabilities, and that states specialized in capabilities with greater betweenness centrality tend to have greater diversification. Finally, we identify the manufacturing capabilities with the greatest potential to trigger structural change.					Gómez-Zaldívar, Fernando/J-7927-2016	Gómez-Zaldívar, Fernando/0000-0001-8103-8614; Molina-Perez, Edmundo/0000-0003-0774-3205													0885-3908	1521-0545				JAN 2	2021	35	1			SI		4	18		10.1080/08853908.2020.1851328	http://dx.doi.org/10.1080/08853908.2020.1851328													WOS:001128535400006
J	Caliari, T; Giesteira, LF; Teixeira, FO; Cardoso, CBD				Caliari, Thiago; Giesteira, Luis Felipe; Teixeira, Felipe Orsolin; Cardoso, Cauan Braga da Silva			Defense Industrial Base and Network Structure: Measurement, Analysis and Public Policies for the Brazilian Case	DEFENCE AND PEACE ECONOMICS												This work aims to identify sectors of the Defense Industrial Base (DIB) that have the potential to generate productive and technological spillovers. We selected companies that sold to the Ministry of Defense (MD) between 2001 and 2019 from the Brazilian Federal Government's public procurement database (ComprasNet). These companies were chosen based on their sectoral relevance according to relevant theoretical works. Our contribution lies in using economic activity co-occurrence reported by companies, using microdata in an unprecedented exercise in the field of defense studies. The main findings show that dominant sectors with higher technological intensity tend to have a closer relationship and greater diversity of relationships within the DIB compared to other sectors. By defining sectors with high potential for technological interaction based on relevant characteristics such as centrality, technological intensity, and MD budget share, we were able to identify the existence of sectoral clusters that can generate greater productive and technological spillovers, with particular emphasis on aircraft manufacture and ICT-related industrial sectors.						Orsolin Teixeira, Felipe/0000-0002-6686-0164													1024-2694	1476-8267				2024 JAN 19	2024										10.1080/10242694.2024.2303694	http://dx.doi.org/10.1080/10242694.2024.2303694		JAN 2024											WOS:001144112000001
J	Bucher, F; Scheu, L; Schröpf, B				Bucher, Florian; Scheu, Lucas; Schroepf, Benedikt			Economic complexity and environmental pollution: evidence from the former socialist transition countries	EMPIRICA												This study examines the link between economic complexity and environmental pollution by exploiting a massive and unprecedented decline of CO2 emissions and complexity in the former socialist transition countries after the fall of the iron curtain. We refer to the extended theories of the Environmental Kuznets Curve (EKC), stating that environmental pollution follows an inverted u-shaped course with respect to economic complexity. Using comprehensive data of 27 countries for the period 1995-2017, our results show that the EKC can be found for countries whose complexity rose over time. Additionally, since the results for production-based and consumption-based CO2 emissions are similar, we can discard emissions offshoring as a major explaining factor. Consequently, our findings suggest that more complex products have influenced the u-shaped course of the EKC. However, as the turning point is associated with high levels of pollution, our estimates imply that complexity may even exacerbate environmental issues in the short and middle run in less developed countries.						Bucher, Florian/0000-0001-5924-9941; Schropf, Benedikt/0000-0002-5053-5711													0340-8744	1573-6911				AUG	2023	50	3					807	847		10.1007/s10663-023-09575-y	http://dx.doi.org/10.1007/s10663-023-09575-y		APR 2023											WOS:000978073300001
J	Wang, YH; Turkina, E				Wang, Yihan; Turkina, Ekaterina			Economic complexity, product space network and Quebec's global competitiveness	CANADIAN JOURNAL OF ADMINISTRATIVE SCIENCES-REVUE CANADIENNE DES SCIENCES DE L ADMINISTRATION												This exploratory study uncovers how the economic complexity of local production and global connectivity contribute to a subnational region's competitiveness and sustainable development. Addressing the knowledge generation and exchange processes orchestrated by global value chains, we demonstrate that the composition of a subnational region's product space network does not necessarily replicate the same configuration of the country-level network. By applying social network analysis (SNA) techniques, we analyze the structural features of Quebec's product space network and compare the complexity indices of the province's advantageous sectors with those of Canada. Finally, we conclude with policy insights for sustainable development and suggest future research directions.					Wang, Yihan/ABE-9094-2021	Wang, Yihan/0000-0003-0340-7001													0825-0383	1936-4490				SEP	2020	37	3					334	349		10.1002/cjas.1555	http://dx.doi.org/10.1002/cjas.1555		NOV 2019											WOS:000497405400001
J	Montiel-Hernandez, MG; Perez-Hernandez, CC; Salazar-Hernandez, BC; Weiler, S				Montiel-Hernandez, Maria Guadalupe; Perez-Hernandez, Carla Carolina; Salazar-Hernandez, Blanca Cecilia; Weiler, Stephan			The Intrinsic Links of Economic Complexity with Sustainability Dimensions: A Systematic Review and Agenda for Future Research	SUSTAINABILITY												What are the intrinsic connections between economic complexity and sustainability dimensions? To address this question, we have conducted the first Systematic Mapping Study of the literature related to the economic complexity theory, employing databases such as Scopus, Web of Science, and Semantic Scholar following the PRISMA statement complemented with a science mapping technique. Our endeavor has culminated in the compilation of 687 documents published between 2006 and 2022. The findings of this systematic review reveal a thematic and semantic network that interconnects economic complexity with the following dimensions of sustainability: (1) Economic, (2) Social and Human, (3) Environmental, (4) Political, and (5) Cultural. The results offer compelling evidence that research into economic complexity is actively striving to promote studies that are pertinent to the challenges articulated by the 2030 Agenda for Sustainable Development. Furthermore, we propose five avenues for shaping a future research agenda based on the emerging research trends detected through in-depth analysis. In conclusion, we affirm that economic complexity stands as a robust theory that aids in comprehending the multidimensional challenges arising from the pursuit of sustainable development.						PEREZ-HERNANDEZ, CARLA CAROLINA/0000-0001-8286-8775														2071-1050				JAN	2024	16	1							391	10.3390/su16010391	http://dx.doi.org/10.3390/su16010391													WOS:001140467300001
